Version checked: updated 
Download setup initialized...
newcards.ydk downloaded from repository 
Download setup done. Downloading newcards.ydk...
40005099 downloaded [164/261]
68462976 downloaded [161/261]
81231742 downloaded [172/261]
95658967 downloaded [154/261]
63492244 downloaded [193/261]
48179391 downloaded [188/261]
34572613 downloaded [130/261]
48015771 downloaded [177/261]
28388296 downloaded [160/261]
56433456 downloaded [187/261]
27813661 downloaded [166/261]
37322745 downloaded [131/261]
84335863 downloaded [209/261]
33017655 downloaded [183/261]
19814508 downloaded [197/261]
72772445 downloaded [192/261]
67831115 downloaded [213/261]
4215636 downloaded [165/261]
33981008 downloaded [184/261]
75304793 downloaded [180/261]
92481084 downloaded [181/261]
36099620 downloaded [151/261]
23377425 downloaded [162/261]
22555834 downloaded [174/261]
59197169 downloaded [217/261]
72043279 downloaded [179/261]
79698395 downloaded [150/261]
18114794 downloaded [176/261]
50433147 downloaded [186/261]
76871889 downloaded [203/261]
35546670 downloaded [212/261]
41418852 downloaded [233/261]
2084239 downloaded [208/261]
1127737 downloaded [158/261]
5697558 downloaded [185/261]
58924378 downloaded [207/261]
62188962 downloaded [201/261]
86318356 downloaded [171/261]
1003840 downloaded [175/261]
33773528 downloaded [229/261]
38057522 downloaded [232/261]
82999629 downloaded [199/261]
13764602 downloaded [223/261]
12931061 downloaded [196/261]
23424603 downloaded [206/261]
26534688 downloaded [227/261]
53819808 downloaded [182/261]
35371948 downloaded [194/261]
47870325 downloaded [170/261]
54306223 downloaded [204/261]
3875465 downloaded [221/261]
9989792 downloaded [191/261]
66399653 downloaded [200/261]
60448701 downloaded [237/261]
23377425 downloaded [226/261]
10424147 downloaded [178/261]
4545854 downloaded [216/261]
17000165 downloaded [249/261]
20216608 downloaded [224/261]
4064256 downloaded [219/261]
2106266 downloaded [220/261]
51208046 downloaded [195/261]
45383307 downloaded [190/261]
58793369 downloaded [236/261]
34822850 downloaded [205/261]
65589010 downloaded [239/261]
60884672 downloaded [202/261]
67331360 downloaded [252/261]
25163979 downloaded [214/261]
22702055 downloaded [198/261]
6909330 downloaded [253/261]
22555834 downloaded [225/261]
32999573 downloaded [215/261]
12931061 downloaded [222/261]
94317736 downloaded [241/261]
90173539 downloaded [210/261]
24793135 downloaded [257/261]
46552140 downloaded [259/261]
91228233 downloaded [247/261]
101105058 downloaded [243/261]
89264428 downloaded [240/261]
675319 downloaded [218/261]
101105060 downloaded [244/261]
58406094 downloaded [235/261]
61654098 downloaded [211/261]
29650040 downloaded [228/261]
64230128 downloaded [246/261]
95477924 downloaded [245/261]
34572613 downloaded [230/261]
62200831 downloaded [256/261]
60884672 downloaded [238/261]
35487920 downloaded [231/261]
45943516 downloaded [234/261]
77297908 downloaded [260/261]
101105057 downloaded [242/261]
35956022 downloaded [261/261]
95856586 downloaded [250/261]
99543666 downloaded [255/261]
64213017 downloaded [248/261]
35815783 downloaded [258/261]
60514625 downloaded [254/261]
28126717 downloaded [251/261]
Download completed 
